DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
1992-Mar-May,673,3808,6569,9131,4977,478
1992-Apr-Jun,665,3774,6562,9155,4966,484
1992-May-Jul,657,3733,6564,9148,4970,471
1992-Jun-Aug,655,3720,6567,9144,4975,464
1992-Jul-Sep,649,3700,6586,9155,4961,458
1992-Aug-Oct,629,3694,6576,9158,4944,455
1992-Sep-Nov,623,3682,6572,9162,4924,443
1992-Oct-Dec,613,3657,6566,9151,4917,431
1993-Nov-Jan,602,3643,6577,9134,4913,432
1993-Dec-Feb,590,3627,6574,9124,4925,435
1993-Jan-Mar,588,3603,6592,9128,4937,435
1993-Feb-Apr,577,3567,6607,9125,4948,434
1993-Mar-May,575,3571,6632,9147,4934,426
1993-Apr-Jun,575,3552,6648,9158,4939,421
1993-May-Jul,576,3537,6649,9171,4940,421
1993-Jun-Aug,571,3516,6650,9180,4935,425
1993-Jul-Sep,569,3519,6667,9201,4937,423
1993-Aug-Oct,572,3508,6669,9197,4947,427
1993-Sep-Nov,579,3488,6678,9183,4971,419
1993-Oct-Dec,577,3464,6668,9200,4989,422
1994-Nov-Jan,578,3445,6678,9209,4994,419
1994-Dec-Feb,586,3452,6702,9204,5005,414
1994-Jan-Mar,586,3446,6744,9221,5001,411
1994-Feb-Apr,590,3443,6725,9248,5026,420
1994-Mar-May,584,3421,6731,9242,5052,425
1994-Apr-Jun,584,3401,6738,9247,5059,423
1994-May-Jul,573,3404,6762,9262,5084,430
1994-Jun-Aug,579,3379,6766,9268,5097,430
1994-Jul-Sep,577,3380,6777,9284,5110,431
1994-Aug-Oct,576,3354,6781,9292,5122,435
1994-Sep-Nov,573,3365,6798,9282,5130,447
1994-Oct-Dec,578,3349,6808,9294,5120,450
1995-Nov-Jan,581,3333,6803,9306,5113,447
1995-Dec-Feb,594,3320,6826,9326,5117,454
1995-Jan-Mar,596,3315,6833,9334,5143,450
1995-Feb-Apr,593,3318,6830,9347,5166,451
1995-Mar-May,609,3317,6824,9374,5164,446
1995-Apr-Jun,617,3302,6833,9385,5181,453
1995-May-Jul,620,3315,6845,9374,5192,444
1995-Jun-Aug,623,3349,6860,9369,5198,439
1995-Jul-Sep,633,3337,6856,9375,5213,439
