DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
1992-Mar-May,345,1971,3698,4942,2874,301
1992-Apr-Jun,341,1968,3693,4957,2855,304
1992-May-Jul,333,1947,3687,4956,2861,297
1992-Jun-Aug,332,1937,3684,4957,2854,293
1992-Jul-Sep,330,1931,3692,4950,2844,287
1992-Aug-Oct,319,1925,3681,4950,2828,287
1992-Sep-Nov,313,1910,3666,4947,2819,276
1992-Oct-Dec,306,1888,3667,4938,2812,267
1993-Nov-Jan,301,1883,3670,4928,2811,267
1993-Dec-Feb,295,1871,3676,4918,2816,268
1993-Jan-Mar,295,1860,3683,4922,2818,265
1993-Feb-Apr,289,1838,3685,4903,2823,262
1993-Mar-May,288,1849,3696,4915,2801,256
1993-Apr-Jun,292,1844,3699,4921,2813,254
1993-May-Jul,296,1829,3699,4921,2815,251
1993-Jun-Aug,296,1820,3701,4926,2811,253
1993-Jul-Sep,288,1817,3706,4933,2807,257
1993-Aug-Oct,288,1809,3714,4940,2808,258
1993-Sep-Nov,291,1802,3722,4936,2823,253
1993-Oct-Dec,295,1792,3709,4946,2825,255
1994-Nov-Jan,296,1786,3722,4946,2817,254
1994-Dec-Feb,304,1801,3741,4940,2821,255
1994-Jan-Mar,300,1797,3753,4946,2829,253
1994-Feb-Apr,302,1800,3749,4963,2831,262
1994-Mar-May,296,1785,3744,4968,2845,264
1994-Apr-Jun,294,1770,3742,4969,2849,261
1994-May-Jul,289,1768,3756,4983,2864,269
1994-Jun-Aug,291,1755,3762,4984,2880,271
1994-Jul-Sep,292,1760,3778,4991,2889,270
1994-Aug-Oct,292,1761,3778,5006,2887,277
1994-Sep-Nov,288,1764,3788,4998,2895,288
1994-Oct-Dec,289,1764,3795,5008,2883,293
1995-Nov-Jan,297,1754,3789,5019,2878,288
1995-Dec-Feb,299,1750,3785,5031,2877,290
1995-Jan-Mar,299,1743,3783,5038,2894,287
1995-Feb-Apr,296,1742,3787,5046,2901,288
1995-Mar-May,305,1738,3793,5061,2905,288
1995-Apr-Jun,309,1730,3798,5053,2914,296
1995-May-Jul,306,1738,3797,5052,2919,290
1995-Jun-Aug,308,1756,3810,5044,2919,279
1995-Jul-Sep,315,1752,3803,5051,2923,277
1995-Aug-Oct,320,1743,3801,5059,2916,272
1995-Sep-Nov,326,1732,3795,5076,2928,272
1995-Oct-Dec,330,1739,3804,5094,2938,268
1996-Nov-Jan,331,1728,3795,5087,2942,260
1996-Dec-Feb,328,1719,3789,5096,2947,259
1996-Jan-Mar,323,1712,3780,5097,2966,260
1996-Feb-Apr,328,1705,3781,5093,2980,262
1996-Mar-May,335,1697,3788,5094,2981,266
1996-Apr-Jun,332,1697,3789,5101,2976,268
1996-May-Jul,334,1684,3790,5114,2987,266
1996-Jun-Aug,331,1693,3794,5108,3009,271
1996-Jul-Sep,333,1681,3797,5103,3016,270
1996-Aug-Oct,331,1676,3795,5108,3033,274
1996-Sep-Nov,328,1686,3811,5116,3050,271
1996-Oct-Dec,326,1684,3813,5115,3060,267
1997-Nov-Jan,323,1696,3823,5112,3084,270
1997-Dec-Feb,328,1697,3838,5111,3098,269
1997-Jan-Mar,334,1703,3855,5111,3122,266
1997-Feb-Apr,340,1702,3854,5125,3134,265
1997-Mar-May,341,1694,3845,5119,3137,269
1997-Apr-Jun,347,1689,3855,5129,3150,272
1997-May-Jul,347,1667,3843,5139,3152,277
1997-Jun-Aug,352,1662,3853,5146,3161,283
1997-Jul-Sep,356,1663,3850,5156,3175,286
