DATE,Aged 16-17,Aged 18-24,Aged 25-34,Aged 35-49,Aged 50-64,Age 65+
1992-Mar-May,328,1837,2871,4189,2103,177
1992-Apr-Jun,324,1806,2869,4197,2110,180
1992-May-Jul,324,1786,2876,4192,2109,174
1992-Jun-Aug,323,1783,2882,4187,2121,171
1992-Jul-Sep,319,1769,2894,4205,2116,171
1992-Aug-Oct,310,1769,2895,4207,2116,168
1992-Sep-Nov,310,1772,2905,4215,2105,167
1992-Oct-Dec,307,1769,2900,4214,2105,164
1993-Nov-Jan,301,1760,2907,4206,2102,165
1993-Dec-Feb,294,1756,2898,4206,2109,167
1993-Jan-Mar,292,1743,2908,4206,2119,170
1993-Feb-Apr,288,1729,2922,4223,2125,172
1993-Mar-May,287,1722,2936,4232,2133,171
1993-Apr-Jun,283,1709,2949,4237,2126,167
1993-May-Jul,281,1707,2949,4250,2124,170
1993-Jun-Aug,275,1696,2949,4255,2124,171
1993-Jul-Sep,281,1702,2961,4268,2130,166
1993-Aug-Oct,284,1700,2955,4257,2139,169
1993-Sep-Nov,288,1686,2956,4247,2149,166
1993-Oct-Dec,281,1673,2959,4254,2165,166
1994-Nov-Jan,281,1659,2956,4263,2176,165
1994-Dec-Feb,282,1651,2961,4264,2184,159
1994-Jan-Mar,285,1648,2990,4275,2173,158
1994-Feb-Apr,288,1643,2976,4285,2194,157
1994-Mar-May,288,1637,2987,4274,2207,161
1994-Apr-Jun,290,1631,2995,4278,2210,162
1994-May-Jul,284,1636,3006,4280,2220,161
1994-Jun-Aug,287,1625,3003,4284,2217,159
1994-Jul-Sep,285,1620,2998,4292,2221,161
1994-Aug-Oct,284,1593,3003,4286,2235,158
1994-Sep-Nov,284,1601,3009,4284,2235,158
1994-Oct-Dec,289,1586,3013,4285,2237,157
1995-Nov-Jan,284,1579,3014,4287,2235,159
1995-Dec-Feb,295,1570,3041,4296,2241,164
1995-Jan-Mar,297,1571,3051,4296,2249,163
1995-Feb-Apr,297,1576,3043,4301,2264,162
1995-Mar-May,304,1579,3031,4313,2259,157
1995-Apr-Jun,307,1572,3035,4332,2267,157
1995-May-Jul,315,1578,3048,4322,2272,154
1995-Jun-Aug,315,1592,3050,4326,2279,160
1995-Jul-Sep,318,1584,3053,4324,2290,162
1995-Aug-Oct,319,1588,3055,4347,2285,165
1995-Sep-Nov,316,1578,3055,4352,2296,164
1995-Oct-Dec,322,1573,3063,4389,2298,165
1996-Nov-Jan,325,1580,3064,4404,2306,165
1996-Dec-Feb,326,1579,3071,4404,2300,164
1996-Jan-Mar,332,1570,3071,4416,2288,156
1996-Feb-Apr,322,1575,3058,4424,2292,157
1996-Mar-May,328,1575,3060,4428,2295,154
1996-Apr-Jun,333,1559,3064,4437,2299,153
1996-May-Jul,338,1535,3064,4433,2306,156
1996-Jun-Aug,339,1541,3075,4430,2313,158
1996-Jul-Sep,338,1534,3097,4417,2325,152
1996-Aug-Oct,339,1534,3100,4433,2343,153
1996-Sep-Nov,344,1531,3117,4441,2335,149
1996-Oct-Dec,349,1538,3115,4454,2327,150
1997-Nov-Jan,351,1533,3125,4440,2349,152
1997-Dec-Feb,356,1535,3127,4440,2372,153
1997-Jan-Mar,351,1532,3131,4426,2395,155
1997-Feb-Apr,353,1535,3141,4418,2404,158
1997-Mar-May,358,1534,3143,4437,2412,161
1997-Apr-Jun,361,1536,3149,4440,2424,164
1997-May-Jul,369,1537,3139,4437,2421,166
1997-Jun-Aug,358,1522,3141,4439,2426,164
1997-Jul-Sep,365,1521,3129,4473,2433,164
1997-Aug-Oct,359,1515,3134,4472,2438,163
1997-Sep-Nov,365,1542,3123,4465,2432,168
1997-Oct-Dec,366,1537,3124,4469,2442,167
1998-Nov-Jan,357,1527,3101,4474,2456,165
1998-Dec-Feb,352,1521,3103,4480,2475,161
1998-Jan-Mar,352,1525,3122,4482,2476,163
1998-Feb-Apr,351,1528,3118,4495,2493,167
1998-Mar-May,349,1521,3120,4488,2495,168
1998-Apr-Jun,345,1529,3116,4493,2495,167
1998-May-Jul,352,1533,3110,4494,2521,163
1998-Jun-Aug,355,1535,3091,4516,2543,163
1998-Jul-Sep,358,1537,3103,4522,2543,164
1998-Aug-Oct,357,1539,3114,4530,2569,169
1998-Sep-Nov,357,1539,3119,4541,2579,167
1998-Oct-Dec,352,1534,3114,4547,2589,168
1999-Nov-Jan,351,1548,3133,4549,2601,166
1999-Dec-Feb,342,1552,3142,4547,2590,165
1999-Jan-Mar,346,1547,3135,4557,2592,166
1999-Feb-Apr,342,1539,3135,4571,2594,170
1999-Mar-May,343,1526,3138,4573,2594,174
1999-Apr-Jun,333,1523,3142,4589,2604,170
1999-May-Jul,337,1526,3143,4595,2594,166
1999-Jun-Aug,337,1537,3149,4596,2602,166
1999-Jul-Sep,346,1545,3144,4599,2617,169
1999-Aug-Oct,344,1539,3124,4603,2628,172
1999-Sep-Nov,344,1540,3118,4621,2648,168
1999-Oct-Dec,338,1553,3118,4636,2660,173
